iter   i     a     b      Smsy      Emin
229 20 1.429576 130937.1 52635.36 19050.44
230 20 1.790907 46268.47 17387.81 13910.25
231 20 1.193035 148136.9 62079.39 19050.44
232 20 1.532563 77652.13 30635.48 19050.44
233 20 1.261936 122478.6 50719.49 19050.44
234 20 1.576369 106386.4 41633.68 19050.44
235 20 1.616198 102791.9 39930.01 19050.44
236 20 1.169759 153977.4 64784.31 19050.44
237 20 1.320968 145066.8 59455.46 19050.44
238 20 2.605026 39625.65 12632.1 10105.68
239 20 1.477284 91958.02 36648.17 19050.44
240 20 1.32951 111487.8 45624.33 19050.44
241 20 2.028954 59277.94 21263.01 17010.41
242 20 1.746724 84765.73 32125.98 19050.44
243 20 2.079503 85174.19 30245.46 19050.44
244 20 1.548774 103968.4 40895.55 19050.44
245 20 1.568808 91999.5 36053.93 19050.44
246 20 1.432916 98685.27 39646.58 19050.44
247 20 1.089869 347989.4 148403.1 19050.44
248 20 1.284985 209024.9 86211.67 19050.44
249 20 1.493085 157831.7 62720.07 19050.44
250 20 1.738416 57579.2 21856.98 17485.58
251 20 1.875397 59514.75 22003.09 17602.48
252 20 1.653219 64606.94 24923.44 19050.44
253 20 1.546796 86344.17 33975.53 19050.44
254 20 1.475063 139963.6 55802.44 19050.44
255 20 1.766119 123123.4 46490.7 19050.44
256 20 1.576307 101080.4 39557.66 19050.44
257 20 2.289463 57280.18 19493.78 15595.02
258 20 2.399225 61789.49 20559.16 16447.33
259 20 1.905937 60234.69 22136.92 17709.53
260 20 1.751091 69234.78 26217.92 19050.44
261 20 1.869644 103156.9 38180.69 19050.44
262 20 1.253328 108275.2 44904.9 19050.44
263 20 1.508945 147855.2 58585.45 19050.44
264 20 1.692083 66272.79 25379.4 19050.44
265 20 1.421077 96012.64 38655.21 19050.44
266 20 1.898263 68216.31 25107.89 19050.44
267 20 0.972286 14128373063 6143316056 19050.44
268 20 1.955511 60432.48 21994.54 17595.63
269 20 2.045479 80093.33 28635.14 19050.44
270 20 1.022389 24320072724 10488436464 19050.44
271 20 1.643127 101899.7 39384.43 19050.44
272 20 1.746269 78653.29 29811.98 19050.44
273 20 1.354763 101857.7 41497.42 19050.44
274 20 1.184171 184216.6 77316.54 19050.44
275 20 1.428083 50658.22 20369.56 16295.65
276 20 1.602785 101652.7 39586.37 19050.44
277 20 1.748377 68914.46 26110.15 19050.44
278 20 1.277427 136596.2 56413.14 19050.44
279 20 1.428054 119601.1 48091.59 19050.44
280 20 1.153526 145944.4 61574.46 19050.44
281 20 1.439155 103245.8 41432.07 19050.44
282 20 1.695912 89683.37 34319.69 19050.44
283 20 1.450151 102885.9 41205.64 19050.44
284 20 1.818909 53550.37 20016.08 16012.86
285 20 1.993488 63795.23 23044.96 18435.97
286 20 1.815623 61928.7 23162.43 18529.94
287 20 1.754362 89812.76 33989.16 19050.44
288 20 1.365838 134532.7 54701.64 19050.44
289 20 1.064207 810458823 347111186 19050.44
290 20 1.062379 603092.3 258376.8 19050.44
291 20 1.544636 70042.48 27571.96 19050.44
292 20 1.617365 94491.62 36697.74 19050.44
293 20 1.936494 80310.04 29338.57 19050.44
294 20 1.753886 79129.48 29948.86 19050.44
295 20 1.864253 83866.37 31073.39 19050.44
296 20 1.674664 91879.69 35301.64 19050.44
297 20 1.938845 52473.37 19160.53 15328.42
298 20 1.063271 59743859826 25591665675 19050.44
299 20 1.238858 88941.3 36979.28 19050.44
300 20 1.688941 80007.6 30657.41 19050.44
301 20 1.634081 62842.27 24329.89 19050.44
302 20 1.820967 93610.84 34976 19050.44
303 20 1.528714 125808.7 49669.44 19050.44
304 20 1.034842 55316525417 23807183296 19050.44
305 20 1.127803 197629.2 83744.64 19050.44
306 20 2.261729 74417.92 25470.09 19050.44
307 20 1.481509 133197.8 53042.7 19050.44
308 20 1.759658 58963.45 22291.82 17833.46
309 20 1.637365 68043.71 26327.46 19050.44
310 20 1.024037 21076149297 9086971570 19050.44
311 20 2.108623 52431.19 18510.02 14808.01
312 20 1.738881 83528.74 31704.57 19050.44
313 20 1.618866 122389.8 47519.23 19050.44
314 20 2.250449 42574.58 14605.03 11684.03
315 20 1.817273 104059 38907.52 19050.44
316 20 1.292638 122444.3 50434.13 19050.44
317 20 1.522711 101531.5 40128.99 19050.44
318 20 2.021467 75592.78 27155.53 19050.44
319 20 1.200662 514036.5 215134.4 19050.44
320 20 1.859841 85270.51 31620.75 19050.44
321 20 1.558056 118188.8 46409.52 19050.44
322 20 1.751973 108331.6 41016.25 19050.44
323 20 1.661175 89837.38 34604.78 19050.44
324 20 2.249169 52875.87 18143.58 14514.87
325 20 1.468682 93288.55 37236.61 19050.44
